ID	hg19_coordinates	hg19_bracketing_genes	hg38_coordinates	mm9_coordinates	mm9_bracketing_genes	mm10_coordinates
mm2118	chr15:67401320-67407068	SMAD3(intragenic)	chr15:67108982-67114730	chr9:63560364-63565012	Smad3(intragenic)	chr9:63712557-63717205
mm2150	chr15:67406883-67410949	SMAD3(intragenic)	chr15:67114545-67118611	chr9:63555981-63560706	Smad3(intragenic)	chr9:63708174-63712899
mm2091	chr15:67410469-67417313	SMAD3(intragenic)	chr15:67118131-67124975	chr9:63551621-63556371	Smad3(intragenic)	chr9:63703814-63708564
mm2117	chr15:67417304-67423020	SMAD3(intragenic)	chr15:67124966-67130682	chr9:63546991-63551986	Smad3(intragenic)	chr9:63699184-63704179
mm2116	chr15:67432795-67434897	SMAD3(intragenic)	chr15:67140457-67142559	chr9:63533709-63538351	Smad3(intragenic)	chr9:63685902-63690544
mm2098	chr15:67435091-67440217	SMAD3(intragenic)	chr15:67142753-67147879	chr9:63529570-63533566	Smad3(intragenic)	chr9:63681763-63685759
mm2215	chr15:67440321-67441952	SMAD3(intragenic)	chr15:67147983-67149614	chr9:63527079-63529488	Smad3(intragenic)	chr9:63679272-63681681
mm2214	chr15:67441812-67444943	SMAD3(intragenic)	chr15:67149474-67152605	chr9:63524813-63527208	Smad3(intragenic)	chr9:63677006-63679401
mm2149	chr15:67445009-67452046	SMAD3(intragenic)	chr15:67152671-67159708	chr9:63519651-63524393	Smad3(intragenic)	chr9:63671844-63676586
mm1710	chr15:67534096-67536207	AAGAB(intragenic)	chr15:67241758-67243869	chr9:63457700-63459760	Aagab(intragenic)	chr9:63609893-63611953
hs358	chr15:67665164-67665685	IQCH-IQCH-AS1	chr15:67372826-67373347	chr9:63371797-63372340	Iqch(intragenic)	chr9:63523990-63524533
hs178	chr15:68079283-68080713	MAP2K5(intragenic)	chr15:67786945-67788375	chr9:63023883-63025083	Map2k5(intragenic)	chr9:63176076-63177276
mm285	chr15:68132162-68135126	SKOR1-PIAS1	chr15:67839824-67842788	chr9:62979394-62981242	Pias1-Skor1	chr9:63131587-63133435
mm211	chr15:68176260-68177920	SKOR1-PIAS1	chr15:67883922-67885582	chr9:62956042-62958045	Pias1-Skor1	chr9:63108235-63110238
mm1509	chr15:68259430-68261981	SKOR1-PIAS1	chr15:67967092-67969643	chr9:62905817-62908296	Pias1-Skor1	chr9:63058010-63060489
hs1758	chr15:68990949-68993685	CORO2B(intragenic)	chr15:68698610-68701346	chr9:62286385-62300241	Coro2b(intragenic)	chr9:62438578-62452434
mm210	chr15:69023125-69024126	CORO2B-ANP32A	chr15:68730786-68731787	chr9:62262456-62263484	Anp32a-Coro2b	chr9:62414649-62415677
mm29	chr15:70147247-70149536	LINC00593-TLE3	chr15:69854908-69857197	chr9:61448651-61451473	Tle3-Rplp1	chr9:61600844-61603666
hs359	chr15:70391576-70392613	MIR629-UACA	chr15:70099237-70100274	chr9:61217865-61218876	B930092H01Rik-Tle3	chr9:61370058-61371069
hs2629	chr15:73638781-73639705	HCN4(intragenic)	chr15:73346440-73347364	chr9:58689200-58690083	Hcn4(intragenic)	chr9:58841393-58842276
hs2161	chr15:73666606-73670858	HCN4-C15orf60	chr15:73374265-73378517	chr9:58662783-58666396	2410076I21Rik-Hcn4	chr9:58814976-58818589
mm1997	chr15:73675796-73677185	HCN4-C15orf60	chr15:73383455-73384844	chr9:58654898-58656525	2410076I21Rik-Hcn4	chr9:58807091-58808718
mm1996	chr15:73677320-73679052	HCN4-C15orf60	chr15:73384979-73386711	chr9:58653374-58654551	2410076I21Rik-Hcn4	chr9:58805567-58806744
mm2012	chr15:73718002-73719067	HCN4-C15orf60	chr15:73425661-73426726	chr9:58605626-58607851	2410076I21Rik-Hcn4	chr9:58757819-58760044
hs2614	chr15:74583345-74584546	CCDC33(intragenic)	chr15:74291004-74292205	chr9:57908386-57909431	E330033L03-Stra6	chr9:58060579-58061624
hs1510	chr15:74870847-74872794	ARID3B(intragenic)	chr15:74578506-74580453	chr9:57654417-57655641	Arid3b(intragenic)	chr9:57806610-57807834
mm1754	chr15:76503853-76505478	C15orf27-ETFA	chr15:76211512-76213137	chr9:55296732-55298868	AI118078-Etfa	chr9:55448925-55451061
hs2622	chr15:78045066-78046619	LOC253044-LOC645752	chr15:77752724-77754277	chr9:56585642-56587037	Lingo1-Odf3l1	chr9:56737835-56739230
hs2515	chr15:79116891-79119066	ADAMTS7-MORF4L1	chr15:78824549-78826724	chr9:90041615-90042646	Morf4l1-Adamts7	chr9:90146777-90147808
hs2500	chr15:79151012-79154383	ADAMTS7-MORF4L1	chr15:78858670-78862041	chr9:90020318-90022397	Morf4l1-Adamts7	chr9:90125480-90127559
mm729	chr15:81382728-81390271	MESDC1-C15orf26	chr15:81090387-81097930	chr7:90960428-90963938	1700026D08Rik-Mesdc1	chr7:83811918-83815428
hs1494	chr15:82179952-82181888	TMC3-MEX3B	chr15:81887611-81889547	chr7:90208815-90210880	4933430H16Rik-Tmc3	chr7:83060305-83062370
hs1514	chr15:84376560-84378448	ADAMTSL3(intragenic)	chr15:83707808-83709696	chr7:89531227-89532495	Adamtsl3(intragenic)	chr7:82382717-82383985
mm485	chr15:86397622-86398276	MIR1276-AGBL1	chr15:85854391-85855045	chr7:83054869-83055568	Klhl25-Agbl1	chr7:75909983-75910682
mm1397	chr15:86827238-86831327	AGBL1(intragenic)	chr15:86284007-86288096	chr7:83582528-83585249	Agbl1(intragenic)	chr7:76437642-76440363
hs2510	chr15:88943403-88946491	NTRK3-AS1-MRPL46	chr15:88400172-88403260	chr7:85861780-85864972	E430016F16Rik-Mrpl46	chr7:78716894-78720086
mm1320	chr15:90648160-90655622	IDH2-SEMA4B	chr15:90104928-90112390	chr7:87263180-87267149	Idh2-Mir1965	chr7:80118294-80122263
mm170	chr15:90943381-90944617	IQGAP1(intragenic)	chr15:90400149-90401385	chr7:87933824-87935070	Iqgap1(intragenic)	chr7:80788938-80790184
mm169	chr15:91365887-91366937	BLM-FURIN	chr15:90822657-90823707	chr7:87589954-87591386	Furin-Blm	chr7:80445068-80446500
hs2334	chr15:93458856-93462478	MIR3175-RGMA	chr15:92915626-92919248	chr7:80668548-80672707	Chd2(intragenic)	chr7:73523662-73527821
hs1686	chr15:94524574-94527142	RGMA-MCTP2	chr15:93981345-93983913	chr7:79685303-79688114	Mctp2-Gm6567	chr7:72540417-72543228
hs624	chr15:95335996-95337446	MCTP2-LOC440311	chr15:94792767-94794217	chr7:78890759-78892608	B130024G19Rik-Mctp2	chr7:71745873-71747722
mm1539	chr15:96902987-96905982	NR2F2-SPATA8-AS1	chr15:96359758-96362753	chr7:77474358-77477351	4930402F11Rik-Nr2f2	chr7:70329472-70332465
hs1320	chr15:97128054-97130294	NR2F2-SPATA8-AS1	chr15:96584824-96587064	chr7:77262034-77264318	4930402F11Rik-Nr2f2	chr7:70117148-70119432
mm1729	chr15:97136859-97138251	NR2F2-SPATA8-AS1	chr15:96593629-96595021	chr7:77253287-77254726	4930402F11Rik-Nr2f2	chr7:70108401-70109840
hs184	chr15:97391638-97393001	SPATA8-LOC101927310	chr15:96848408-96849771	chr7:76989653-76990980	4930402F11Rik-Nr2f2	chr7:69844767-69846094
hs1932	chr15:99257740-99262228	IGF1R(intragenic)	chr15:98714511-98718999	chr7:75154977-75158097	Igf1r(intragenic)	chr7:68010091-68013211
hs2281	chr15:99273505-99276775	IGF1R(intragenic)	chr15:98730276-98733546	chr7:75169448-75172870	Igf1r(intragenic)	chr7:68024562-68027984
mm727	chr15:99393681-99397340	MIR4714-PGPEP1L	chr15:98850452-98854111	chr7:75272248-75275752	Igf1r(intragenic)	chr7:68127362-68130866
hs1242	chr16:10319829-10320876	GRIN2A-ATF7IP2	chr16:10225972-10227019	chr16:10051210-10052068	Grin2a-Rpl39l	chr16:10051117-10051975
hs2530	chr16:11733520-11735796	LITAF-SNN	chr16:11639664-11641940	chr16:11035423-11042540	Gm4262-Snn	chr16:11035330-11042447
hs2295	chr16:1479665-1481005	C16orf91-CCDC154	chr16:1429664-1431004	chr17:25312483-25314036	Ccdc154-BC003965	chr17:25175538-25177091
mm963	chr16:1480450-1481558	C16orf91-CCDC154	chr16:1430449-1431557	chr17:25312044-25313077	Ccdc154-BC003965	chr17:25175099-25176132
mm101	chr16:154528-155614	NPRL3(intragenic)	chr16:104530-105616	chr11:32145270-32146411	Nprl3(intragenic)	chr11:32245270-32246411
mm95	chr16:162972-164800	NPRL3(intragenic)	chr16:112973-114801	chr11:32150452-32152344	Nprl3(intragenic)	chr11:32250452-32252344
hs95	chr16:17096348-17097253	NPIPA8-XYLT1	chr16:17002491-17003396	chr7:124899804-124900727	Xylt1-Rps15a	chr7:117756290-117757213
mm1558	chr16:17175685-17178627	NPIPA8-XYLT1	chr16:17081828-17084770	chr7:124829221-124831130	Xylt1-Rps15a	chr7:117685707-117687616
hs96	chr16:17745104-17746413	XYLT1-NPIPA7	chr16:17651247-17652556	chr7:124386207-124387521	Nucb2-Xylt1	chr7:117242693-117244007
hs97	chr16:18240361-18241096	XYLT1-NPIPA7	chr16:18146504-18147239	chr7:123830516-123831229	Nucb2-Xylt1	chr7:116687002-116687715
hs98	chr16:22684122-22685282	LOC653786-MIR548D2	chr16:22672801-22673961	chr7:128395692-128396760	Otoa-Hs3st2	chr7:121252178-121253246
hs2637	chr16:23037540-23038879	HS3ST2-USP31	chr16:23026219-23027558	chr7:128739422-128744665	Hs3st2-Usp31	chr7:121595908-121601151
mm1484	chr16:24696212-24698553	RBBP6-TNRC6A	chr16:24684891-24687232	chr7:130240208-130243381	Rbbp6-Tnrc6a	chr7:123096694-123099867
hs99	chr16:25759215-25760529	HS3ST4(intragenic)	chr16:25747894-25749208	chr7:131176470-131177868	Hs3st4(intragenic)	chr7:124032956-124034354
mm687	chr16:25763421-25766748	HS3ST4(intragenic)	chr16:25752100-25755427	chr7:131181868-131184377	Hs3st4(intragenic)	chr7:124038354-124040863
hs100	chr16:26226210-26227347	HS3ST4-C16orf82	chr16:26214889-26216026	chr7:131645696-131647006	Hs3st4-3100003L05Rik	chr7:124502182-124503492
mm174	chr16:27648396-27649573	KIAA0556(intragenic)	chr16:27637075-27638252	chr7:132907561-132908867	D430042O09Rik(intragenic)	chr7:125764047-125765353
hs86	chr16:31733057-31734604	ZNF720(intragenic)	chr16:31721736-31723283	chr3:36057774-36061579	D3Ertd254e(intragenic)	chr3:36158852-36162657
hs2628	chr16:48753822-48755022	N4BP1-CBLN1	chr16:48719911-48721111	chr8:89484738-89485937	N4bp1-Gm10637	chr8:86960839-86962038
hs101	chr16:48912816-48914144	N4BP1-CBLN1	chr16:48878905-48880233	chr8:89644450-89646168	N4bp1-Gm10637	chr8:87120551-87122269
mm1336	chr16:48939235-48941566	N4BP1-CBLN1	chr16:48905324-48907655	chr8:89675106-89678195	N4bp1-Gm10637	chr8:87151207-87154296
hs124	chr16:49094466-49095242	N4BP1-CBLN1	chr16:49060555-49061331	chr8:89794448-89795278	Gm10637-Cbln1	chr8:87270549-87271379
mm1567	chr16:49521523-49524205	C16orf78-ZNF423	chr16:49487612-49490294	chr8:90183015-90185433	4933402J07Rik-Zfp423	chr8:87659116-87661534
hs625	chr16:49735099-49736449	ZNF423(intragenic)	chr16:49701188-49702538	chr8:90359869-90361168	Zfp423(intragenic)	chr8:87835970-87837269
hs85	chr16:50848355-50849656	CYLD-LOC101927334	chr16:50814444-50815745	chr8:91281880-91283008	Cyld-Sall1	chr8:88757981-88759109
hs162	chr16:50869692-50871098	CYLD-LOC101927334	chr16:50835781-50837187	chr8:91298588-91299973	Cyld-Sall1	chr8:88774689-88776074
hs84	chr16:50874863-50875709	CYLD-LOC101927334	chr16:50840952-50841798	chr8:91303082-91303871	Cyld-Sall1	chr8:88779183-88779972
hs83	chr16:50977028-50978183	CYLD-LOC101927334	chr16:50943117-50944272	chr8:91401060-91402160	Cyld-Sall1	chr8:88877161-88878261
hs82	chr16:50982029-50982689	CYLD-LOC101927334	chr16:50948118-50948778	chr8:91405192-91405822	Cyld-Sall1	chr8:88881293-88881923
hs81	chr16:51010690-51011608	CYLD-LOC101927334	chr16:50976779-50977697	chr8:91426593-91427456	Cyld-Sall1	chr8:88902694-88903557
hs80	chr16:51042253-51043115	CYLD-LOC101927334	chr16:51008342-51009204	chr8:91448726-91449517	Cyld-Sall1	chr8:88924827-88925618
hs79	chr16:51056311-51057592	LOC101927334(intragenic)	chr16:51022400-51023681	chr8:91462919-91464123	Cyld-Sall1	chr8:88939020-88940224
hs78	chr16:51106148-51107109	LOC101927334-SALL1	chr16:51072237-51073198	chr8:91497074-91498013	Cyld-Sall1	chr8:88973175-88974114
hs77	chr16:51129207-51130306	LOC101927334-SALL1	chr16:51095296-51096395	chr8:91515454-91516543	Cyld-Sall1	chr8:88991555-88992644
mm659	chr16:51144320-51146916	LOC101927334-SALL1	chr16:51110409-51113005	chr8:91526103-91528596	Cyld-Sall1	chr8:89002204-89004697
hs152	chr16:51147012-51148642	LOC101927334-SALL1	chr16:51113101-51114731	chr8:91529718-91531323	Cyld-Sall1	chr8:89005819-89007424
hs76	chr16:51231121-51232362	SALL1-LOC101927364	chr16:51197210-51198451	chr8:91610286-91611473	Sall1-Tox3	chr8:89086387-89087574
hs75	chr16:51389295-51390719	SALL1-LOC101927364	chr16:51355384-51356808	chr8:91764846-91766537	Sall1-Tox3	chr8:89240947-89242638
mm984	chr16:51424748-51427555	SALL1-LOC101927364	chr16:51390837-51393644	chr8:91794564-91797381	Sall1-Tox3	chr8:89270665-89273482
hs848	chr16:51491799-51493025	SALL1-LOC101927364	chr16:51457888-51459114	chr8:91847783-91849077	Sall1-Tox3	chr8:89323884-89325178
hs74	chr16:51560196-51560925	SALL1-LOC101927364	chr16:51526285-51527014	chr8:91894988-91895731	Sall1-Tox3	chr8:89371089-89371832
hs73	chr16:51576725-51578101	SALL1-LOC101927364	chr16:51542814-51544190	chr8:91910746-91912201	Sall1-Tox3	chr8:89386847-89388302
hs72	chr16:51657810-51658716	SALL1-LOC101927364	chr16:51623899-51624805	chr8:91978407-91979282	Sall1-Tox3	chr8:89454508-89455383
hs71	chr16:51671181-51672039	SALL1-LOC101927364	chr16:51637270-51638128	chr8:91988832-91989702	Sall1-Tox3	chr8:89464933-89465803
hs70	chr16:51732148-51733614	SALL1-LOC101927364	chr16:51698237-51699703	chr8:92039647-92040986	Sall1-Tox3	chr8:89515748-89517087
hs69	chr16:51757191-51758243	SALL1-LOC101927364	chr16:51723280-51724332	chr8:92060101-92060945	Sall1-Tox3	chr8:89536202-89537046
hs68	chr16:51786180-51787369	SALL1-LOC101927364	chr16:51752269-51753458	chr8:92085771-92086980	Sall1-Tox3	chr8:89561872-89563081
hs66	chr16:51817305-51818432	LOC101927364-C16orf97	chr16:51783394-51784521	chr8:92120124-92121214	Sall1-Tox3	chr8:89596225-89597315
hs160	chr16:51853597-51854931	LOC101927364-C16orf97	chr16:51819686-51821020	chr8:92155636-92156959	Sall1-Tox3	chr8:89631737-89633060
hs65	chr16:51958288-51959688	LOC101927364-C16orf97	chr16:51924376-51925776	chr8:92254914-92256812	Sall1-Tox3	chr8:89731015-89732913
mm1385	chr16:52216443-52218918	LOC102467079-TOX3	chr16:52182531-52185006	chr8:92516582-92519349	Sall1-Tox3	chr8:89992683-89995450
hs154	chr16:52242610-52244077	LOC102467079-TOX3	chr16:52208698-52210165	chr8:92535457-92536878	Sall1-Tox3	chr8:90011558-90012979
hs64	chr16:52436255-52437376	LOC102467079-TOX3	chr16:52402343-52403464	chr8:92727740-92728669	Sall1-Tox3	chr8:90203841-90204770
hs161	chr16:52446050-52447237	LOC102467079-TOX3	chr16:52412138-52413325	chr8:92737432-92738565	Sall1-Tox3	chr8:90213533-90214666
hs1300	chr16:52468529-52471762	LOC102467079-TOX3	chr16:52434617-52437850	chr8:92767720-92770785	Sall1-Tox3	chr8:90243821-90246886
hs63	chr16:52503834-52504926	TOX3(intragenic)	chr16:52469922-52471014	chr8:92799985-92801105	Tox3(intragenic)	chr8:90276086-90277206
hs62	chr16:52530541-52531971	TOX3(intragenic)	chr16:52496629-52498059	chr8:92825483-92826937	Tox3(intragenic)	chr8:90301584-90303038
hs164	chr16:52551597-52552835	TOX3(intragenic)	chr16:52517685-52518923	chr8:92846136-92847392	Tox3(intragenic)	chr8:90322237-90323493
hs153	chr16:52557406-52558785	TOX3(intragenic)	chr16:52523494-52524873	chr8:92851858-92853376	Tox3(intragenic)	chr8:90327959-90329477
hs1682	chr16:52740114-52744871	CASC16-CHD9	chr16:52706202-52710959	chr8:93018020-93023461	Tox3-Chd9	chr8:90494121-90499562
mm871	chr16:52987191-52998611	CASC16-CHD9	chr16:52953279-52964699	chr8:93262503-93266310	Tox3-Chd9	chr8:90738604-90742411
mm1483	chr16:53119197-53120740	CHD9(intragenic)	chr16:53085285-53086828	chr8:93384870-93387389	Chd9(intragenic)	chr8:90860971-90863490
hs859	chr16:53563054-53564455	AKTIP-RPGRIP1L	chr16:53529142-53530543	chr8:93694546-93695959	Aktip-Rpgrip1l	chr8:91170647-91172060
hs60	chr16:53578034-53578985	AKTIP-RPGRIP1L	chr16:53544122-53545073	chr8:93709198-93710130	Aktip-Rpgrip1l	chr8:91185299-91186231
hs59	chr16:53726316-53727556	RPGRIP1L(intragenic)	chr16:53692404-53693644	chr8:93828956-93830184	Rpgrip1l(intragenic)	chr8:91305057-91306285
hs58	chr16:53760298-53761157	FTO(intragenic)	chr16:53726386-53727245	chr8:93865926-93866771	Fto(intragenic)	chr8:91342027-91342872
hs2528	chr16:53808915-53811637	FTO(intragenic)	chr16:53775003-53777725	chr8:93904676-93906875	Fto(intragenic)	chr8:91380777-91382976
hs1975	chr16:53813424-53817319	FTO(intragenic)	chr16:53779512-53783407	chr8:93908101-93911655	Fto(intragenic)	chr8:91384202-91387756
hs57	chr16:53929213-53929824	FTO(intragenic)	chr16:53895301-53895912	chr8:94015344-94015908	Fto(intragenic)	chr8:91491445-91492009
hs155	chr16:53948201-53949846	FTO(intragenic)	chr16:53914289-53915934	chr8:94032666-94034225	Fto(intragenic)	chr8:91508767-91510326
hs157	chr16:53986630-53988193	FTO(intragenic)	chr16:53952718-53954281	chr8:94062197-94063720	Fto(intragenic)	chr8:91538298-91539821
hs156	chr16:53994058-53995943	FTO(intragenic)	chr16:53960146-53962031	chr8:94069625-94071471	Fto(intragenic)	chr8:91545726-91547572
hs55	chr16:54092614-54094121	FTO-IT1-IRX3	chr16:54058702-54060209	chr8:94145941-94147385	Fto(intragenic)	chr8:91622042-91623486
hs167	chr16:54132651-54133957	FTO-IT1-IRX3	chr16:54098739-54100045	chr8:94180600-94181940	Fto(intragenic)	chr8:91656701-91658041
hs53	chr16:54139806-54140268	FTO-IT1-IRX3	chr16:54105894-54106356	chr8:94185813-94186248	Fto(intragenic)	chr8:91661914-91662349
hs52	chr16:54143854-54144867	FTO-IT1-IRX3	chr16:54109942-54110955	chr8:94188503-94189396	Fto(intragenic)	chr8:91664604-91665497
mm1211	chr16:54209022-54213638	FTO-IT1-IRX3	chr16:54175110-54179726	chr8:94236336-94240424	Fto-Irx3	chr8:91712437-91716525
hs166	chr16:54249594-54251153	FTO-IT1-IRX3	chr16:54215682-54217241	chr8:94273786-94275311	Fto-Irx3	chr8:91749887-91751412
hs51	chr16:54323420-54324336	IRX3-CRNDE	chr16:54289508-54290424	chr8:94328515-94329414	Irx3-4933436C20Rik	chr8:91804616-91805515
hs50	chr16:54350345-54351685	IRX3-CRNDE	chr16:54316433-54317773	chr8:94350661-94352011	Irx3-4933436C20Rik	chr8:91826762-91828112
hs49	chr16:54385019-54385639	IRX3-CRNDE	chr16:54351107-54351727	chr8:94379775-94380385	Irx3-4933436C20Rik	chr8:91855876-91856486
mm1651	chr16:54516305-54517935	IRX3-CRNDE	chr16:54482393-54484023	chr8:94490230-94492202	Irx3-4933436C20Rik	chr8:91966331-91968303
hs47	chr16:54540302-54541446	IRX3-CRNDE	chr16:54506390-54507534	chr8:94515096-94516285	Irx3-4933436C20Rik	chr8:91991197-91992386
hs43	chr16:54575878-54577925	IRX3-CRNDE	chr16:54541966-54544013	chr8:94549450-94551438	Irx3-4933436C20Rik	chr8:92025551-92027539
hs42	chr16:54579726-54580655	IRX3-CRNDE	chr16:54545814-54546743	chr8:94553238-94554176	Irx3-4933436C20Rik	chr8:92029339-92030277
hs41	chr16:54611467-54612437	IRX3-CRNDE	chr16:54577555-54578525	chr8:94582596-94583541	Irx3-4933436C20Rik	chr8:92058697-92059642
hs44	chr16:54616212-54617037	IRX3-CRNDE	chr16:54582300-54583125	chr8:94587719-94588517	Irx3-4933436C20Rik	chr8:92063820-92064618
hs39	chr16:54618981-54620264	IRX3-CRNDE	chr16:54585069-54586352	chr8:94589441-94590715	Irx3-4933436C20Rik	chr8:92065542-92066816
hs38	chr16:54624504-54625510	IRX3-CRNDE	chr16:54590592-54591598	chr8:94594340-94595589	Irx3-4933436C20Rik	chr8:92070441-92071690
hs37	chr16:54650598-54651882	IRX3-CRNDE	chr16:54616686-54617970	chr8:94618458-94619728	Irx3-4933436C20Rik	chr8:92094559-92095829
hs36	chr16:54657182-54658317	IRX3-CRNDE	chr16:54623270-54624405	chr8:94624335-94625417	Irx3-4933436C20Rik	chr8:92100436-92101518
hs35	chr16:54665329-54667258	IRX3-CRNDE	chr16:54631417-54633346	chr8:94637335-94639303	Irx3-4933436C20Rik	chr8:92113436-92115404
hs34	chr16:54679467-54680359	IRX3-CRNDE	chr16:54645555-54646447	chr8:94651573-94652441	Irx3-4933436C20Rik	chr8:92127674-92128542
hs32	chr16:54784643-54785615	IRX3-CRNDE	chr16:54750731-54751703	chr8:94743123-94744045	Irx3-4933436C20Rik	chr8:92219224-92220146
hs31	chr16:54799102-54800160	IRX3-CRNDE	chr16:54765190-54766248	chr8:94755077-94756216	Irx3-4933436C20Rik	chr8:92231178-92232317
hs28	chr16:55074360-55075075	IRX5-IRX6	chr16:55040448-55041163	chr8:94968792-94969455	Irx5-Irx6	chr8:92444893-92445556
hs27	chr16:55079237-55080429	IRX5-IRX6	chr16:55045325-55046517	chr8:94973252-94974310	Irx5-Irx6	chr8:92449353-92450411
hs26	chr16:55223185-55224283	IRX5-IRX6	chr16:55189273-55190371	chr8:95069303-95070373	Irx5-Irx6	chr8:92545404-92546474
hs25	chr16:55240593-55241874	IRX5-IRX6	chr16:55206681-55207962	chr8:95078974-95079621	Irx5-Irx6	chr8:92555075-92555722
hs151	chr16:55329289-55330760	IRX5-IRX6	chr16:55295377-55296848	chr8:95171988-95173497	Irx5-Irx6	chr8:92648089-92649598
hs24	chr16:55418032-55418881	IRX6-MMP2	chr16:55384120-55384969	chr8:95259157-95260013	Irx6-Mmp2	chr8:92735258-92736114
hs23	chr16:55424416-55425738	IRX6-MMP2	chr16:55390504-55391826	chr8:95266766-95268099	Irx6-Mmp2	chr8:92742867-92744200
mm1458	chr16:56328899-56332880	MIR3935-AMFR	chr16:56294987-56298968	chr8:96440682-96443641	4930488L21Rik-Amfr	chr8:93916782-93919741
hs941	chr16:5791187-5792173	MIR8065-RBFOX1	chr16:5741186-5742172	chr16:5663766-5664762	Fam86-Rbfox1	chr16:5663673-5664669
mm1669	chr16:58066496-58070368	MMP15(intragenic)	chr16:58032592-58036464	chr8:97882574-97885718	Mmp15(intragenic)	chr8:95358674-95361818
mm71	chr16:58152853-58155186	C16orf80(intragenic)	chr16:58118949-58121282	chr8:97950408-97952214	Gtl3(intragenic)	chr8:95426508-95428314
